DZIAL;STAZ;CZY_KIER;PLEC;PYT_1;PYT_2;PYT_3;WIEK
MK;1;Nie;M;1;2;1;35
HR;1;Nie;K;1;2;2;27
PD;2;Nie;K;1;-1;2;50
HR;2;Nie;M;1;1;NA;48
PD;1;Nie;M;1;1;NA;28
MK;3;Nie;K;2;-1;NA;57
PD;2;Nie;M;2;1;2;41
MK;3;Tak;K;1;1;NA;37
MK;1;Nie;K;0;-1;2;27
PD;1;Nie;K;2;1;NA;31
HR;1;Nie;K;-1;2;NA;42
PD;2;Nie;M;1;-1;-1;35
MK;2;Nie;M;1;-2;1;29
PD;3;Nie;K;1;1;1;45
MK;1;Nie;M;1;1;1;56
PD;1;Nie;K;2;1;NA;52
IT;2;Nie;M;1;1;2;42
PD;2;Nie;K;2;2;2;35
MK;1;Nie;K;2;2;-2;37
HR;1;Tak;M;2;1;1;41
IT;2;Nie;M;-2;1;2;36
PD;2;Nie;K;1;1;1;31
IT;2;Nie;K;1;-2;-2;25
IT;1;Nie;M;1;-2;-2;43
PD;2;Nie;K;1;1;1;34
PD;1;Nie;M;0;1;1;34
PD;2;Nie;M;0;1;1;26
PD;2;Nie;K;2;1;-1;43
HR;3;Tak;K;1;1;1;48
MK;2;Nie;K;1;-1;2;30
HR;1;Nie;K;1;2;1;54
PD;2;Nie;M;1;-2;-1;33
PD;1;Nie;M;2;-1;-1;34
MK;1;Nie;M;-1;1;1;35
PD;1;Tak;K;1;1;2;42
HR;1;Nie;K;-1;-2;-2;52
PD;2;Nie;K;1;-1;NA;37
PD;2;Nie;K;1;-1;-1;36
IT;3;Nie;M;1;1;1;25
IT;3;Nie;K;0;2;NA;36
IT;2;Nie;M;1;1;2;32
PD;3;Nie;M;2;1;NA;43
PD;2;Nie;M;1;-1;1;46
IT;2;Nie;M;1;1;2;30
IT;2;Nie;K;2;1;1;37
PD;1;Nie;K;1;2;2;32
PD;3;Nie;K;1;-2;NA;29
HR;2;Nie;K;1;1;-2;45
HR;1;Nie;M;1;2;NA;53
PD;2;Nie;K;1;-2;2;36
IT;2;Nie;M;2;-1;1;46
HR;2;Nie;M;2;-1;1;25
PD;3;Nie;K;2;2;2;51
MK;2;Nie;M;0;-1;NA;40
PD;3;Tak;K;-2;1;NA;39
PD;1;Nie;M;-1;1;1;32
HR;1;Tak;M;1;-1;-1;42
PD;3;Nie;M;1;-1;2;30
PD;1;Nie;M;1;-1;1;46
PD;3;Nie;K;2;-1;2;22
HR;3;Nie;K;1;1;1;33
PD;2;Nie;K;2;1;NA;25
PD;2;Nie;M;2;-1;-1;31
PD;2;Nie;M;1;2;2;32
HR;3;Nie;M;1;2;NA;31
MK;3;Nie;K;-1;1;1;41
PD;2;Nie;K;1;-1;-2;38
MK;2;Nie;M;1;1;NA;36
PD;1;Nie;K;1;1;1;32
IT;1;Nie;M;1;-2;-2;25
MK;1;Tak;K;1;-2;1;30
PD;2;Nie;K;1;-2;1;38
